model_name,best_epoch,val_accuracy,train_accuracy,val_f1_score,train_f1_score,val_loss,train_loss
l1_8_l2_5_f_exp_n_zs_s_T_v_rec,111,1.0,0.9874213933944702,1.0,0.98748779296875,0.19612041115760803,0.21313481032848358
l1_10_l2_6_f_ma_n_zs_s_T_v_rec,73,0.9883720874786377,0.9874213933944702,0.9882251024246216,0.9872983694076538,0.27970239520072937,0.24900227785110474
l1_10_l2_4_f_ma_n_zs_s_T_v_rec,107,0.9883720874786377,0.9937106966972351,0.9882251024246216,0.9936443567276001,0.19574005901813507,0.1690826117992401
l1_6_l2_8_f_ma_n_zs_s_T_v_rec,78,0.9883720874786377,0.9937106966972351,0.9882251024246216,0.9937484860420227,0.2305549830198288,0.2020835131406784
l1_8_l2_10_f_exp_n_zs_s_T_v_rec,115,0.9883720874786377,0.9937106966972351,0.9882251024246216,0.9936507940292358,0.14880290627479553,0.10695217549800873
l1_3_l2_6_f_exp_n_zs_s_T_v_rec,116,0.9767441749572754,0.9811320900917053,0.9769737124443054,0.9809330701828003,0.284281462430954,0.281022310256958
l1_7_l2_10_f_ma_n_zs_s_T_v_rec,116,0.9767441749572754,0.9874213933944702,0.9763889312744141,0.9872983694076538,0.19276612997055054,0.07535261660814285
l1_10_l2_9_f_exp_n_zs_s_T_v_rec,68,0.9767441749572754,0.9622641801834106,0.9763889312744141,0.9618951678276062,0.2430412620306015,0.17962735891342163
l1_10_l2_7_f_exp_n_zs_s_T_v_rec,91,0.9767441749572754,0.9937106966972351,0.9763889312744141,0.9936507940292358,0.24376745522022247,0.18632620573043823
l1_9_l2_8_f_ma_n_zs_s_T_v_rec,31,0.9767441749572754,0.9937106966972351,0.9763802289962769,0.9936507940292358,0.5954299569129944,0.570097804069519
l1_8_l2_8_f_ma_n_zs_s_T_v_rec,104,0.9767441749572754,0.9937106966972351,0.9763889312744141,0.9937484860420227,0.21255923807621002,0.10603958368301392
l1_10_l2_10_f_exp_n_zs_s_T_v_rec,39,0.9767441749572754,0.9937106966972351,0.9763802289962769,0.9936507940292358,0.3807632625102997,0.3482474684715271
l1_7_l2_8_f_exp_n_zs_s_T_v_rec,75,0.9767441749572754,0.9874213933944702,0.976806640625,0.9872727394104004,0.2676585912704468,0.20711366832256317
l1_4_l2_8_f_exp_n_zs_s_T_v_rec,105,0.9767441749572754,0.9622641801834106,0.9773524403572083,0.9618180990219116,0.24661649763584137,0.2023298591375351
l1_7_l2_9_f_ma_n_zs_s_T_v_rec,111,0.9651162624359131,0.9811320900917053,0.9644289016723633,0.9809330701828003,0.2724969983100891,0.09075018763542175
l1_10_l2_10_f_ma_n_zs_s_T_v_rec,48,0.9651162624359131,0.955974817276001,0.9660547375679016,0.9565407037734985,0.31556037068367004,0.27585187554359436
l1_10_l2_8_f_exp_n_zs_s_T_v_rec,40,0.9651162624359131,0.9748427867889404,0.9641286134719849,0.9745454788208008,0.49959152936935425,0.4944593906402588
l1_4_l2_9_f_exp_n_zs_s_T_v_rec,101,0.9651162624359131,0.9622641801834106,0.9649227857589722,0.9622291326522827,0.24981693923473358,0.2117512971162796
l1_10_l2_7_f_ma_n_zs_s_T_v_rec,119,0.9651162624359131,0.9874213933944702,0.9646428227424622,0.9872983694076538,0.2095419019460678,0.06779124587774277
l1_4_l2_10_f_exp_n_zs_s_T_v_rec,76,0.9651162624359131,0.9622641801834106,0.9644289016723633,0.9622127413749695,0.3141597807407379,0.24832193553447723
l1_10_l2_5_f_ma_n_zs_s_T_v_rec,120,0.9651162624359131,1.0,0.9649227857589722,1.0,0.22246457636356354,0.17402510344982147
l1_9_l2_10_f_exp_n_zs_s_T_v_rec,70,0.9651162624359131,0.9937106966972351,0.9652605056762695,0.9936443567276001,0.23796117305755615,0.17578619718551636
l1_8_l2_8_f_exp_n_zs_s_T_v_rec,76,0.9651162624359131,0.9685534834861755,0.9644289016723633,0.9681254625320435,0.27655670046806335,0.21251140534877777
